Scanning frequency (eV)      Vibronic intensity (a.u.)      Total intensity (a.u.)
2.5950000e+00                  6.7850335e-17                  6.7850335e-17
2.5951000e+00                  8.2700722e-17                  8.2700722e-17
2.5952000e+00                  1.0602883e-16                  1.0602883e-16
2.5953000e+00                  1.3928483e-16                  1.3928483e-16
2.5954000e+00                  1.8336245e-16                  1.8336245e-16
2.5955000e+00                  2.3839121e-16                  2.3839121e-16
2.5956000e+00                  3.0373433e-16                  3.0373433e-16
2.5957000e+00                  3.7820144e-16                  3.7820144e-16
2.5958000e+00                  4.6035595e-16                  4.6035595e-16
2.5959000e+00                  5.4869838e-16                  5.4869838e-16
2.5960000e+00                  6.4151871e-16                  6.4151871e-16
2.5961000e+00                  7.3637279e-16                  7.3637279e-16
2.5962000e+00                  8.2939950e-16                  8.2939950e-16
2.5963000e+00                  9.1491824e-16                  9.1491824e-16
2.5964000e+00                  9.8576964e-16                  9.8576964e-16
2.5965000e+00                  1.0346055e-15                  1.0346055e-15
2.5966000e+00                  1.0558759e-15                  1.0558759e-15
2.5967000e+00                  1.0478224e-15                  1.0478224e-15
2.5968000e+00                  1.0136200e-15                  1.0136200e-15
2.5969000e+00                  9.6104731e-16                  9.6104731e-16
2.5970000e+00                  9.0063036e-16                  9.0063036e-16
2.5971000e+00                  8.4283886e-16                  8.4283886e-16
2.5972000e+00                  7.9531476e-16                  7.9531476e-16
2.5973000e+00                  7.6109902e-16                  7.6109902e-16
2.5974000e+00                  7.3841445e-16                  7.3841445e-16
2.5975000e+00                  7.2196521e-16                  7.2196521e-16
2.5976000e+00                  7.0518964e-16                  7.0518964e-16
2.5977000e+00                  6.8265235e-16                  6.8265235e-16
2.5978000e+00                  6.5183794e-16                  6.5183794e-16
2.5979000e+00                  6.1392798e-16                  6.1392798e-16
2.5980000e+00                  5.7354667e-16                  5.7354667e-16
2.5981000e+00                  5.3778950e-16                  5.3778950e-16
2.5982000e+00                  5.1499999e-16                  5.1499999e-16
2.5983000e+00                  5.1370292e-16                  5.1370292e-16
2.5984000e+00                  5.4188075e-16                  5.4188075e-16
2.5985000e+00                  6.0649096e-16                  6.0649096e-16
2.5986000e+00                  7.1290096e-16                  7.1290096e-16
2.5987000e+00                  8.6389649e-16                  8.6389649e-16
2.5988000e+00                  1.0581708e-15                  1.0581708e-15
2.5989000e+00                  1.2886760e-15                  1.2886760e-15
2.5990000e+00                  1.5417164e-15                  1.5417164e-15
2.5991000e+00                  1.7978953e-15                  1.7978953e-15
2.5992000e+00                  2.0357482e-15                  2.0357482e-15
2.5993000e+00                  2.2380584e-15                  2.2380584e-15
2.5994000e+00                  2.3996923e-15                  2.3996923e-15
2.5995000e+00                  2.5347545e-15                  2.5347545e-15
2.5996000e+00                  2.6803991e-15                  2.6803991e-15
2.5997000e+00                  2.8949792e-15                  2.8949792e-15
2.5998000e+00                  3.2493554e-15                  3.2493554e-15
2.5999000e+00                  3.8118458e-15                  3.8118458e-15
2.6000000e+00                  4.6291922e-15                  4.6291922e-15
