Scanning frequency (eV)      Vibronic intensity (a.u.)      Total intensity (a.u.)
2.5950000e+00                  4.6363079e-49                  4.6363079e-49
2.5951000e+00                  5.4321321e-49                  5.4321321e-49
2.5952000e+00                  6.2853955e-49                  6.2853955e-49
2.5953000e+00                  7.2398867e-49                  7.2398867e-49
2.5954000e+00                  8.3659984e-49                  8.3659984e-49
2.5955000e+00                  9.7588011e-49                  9.7588011e-49
2.5956000e+00                  1.1547077e-48                  1.1547077e-48
2.5957000e+00                  1.3926913e-48                  1.3926913e-48
2.5958000e+00                  1.7227060e-48                  1.7227060e-48
2.5959000e+00                  2.1997465e-48                  2.1997465e-48
2.5960000e+00                  2.9091161e-48                  2.9091161e-48
2.5961000e+00                  3.9692782e-48                  3.9692782e-48
2.5962000e+00                  5.5247861e-48                  5.5247861e-48
2.5963000e+00                  7.7277148e-48                  7.7277148e-48
2.5964000e+00                  1.0711988e-47                  1.0711988e-47
2.5965000e+00                  1.4572062e-47                  1.4572062e-47
2.5966000e+00                  1.9361687e-47                  1.9361687e-47
2.5967000e+00                  2.5125119e-47                  2.5125119e-47
2.5968000e+00                  3.1959463e-47                  3.1959463e-47
2.5969000e+00                  4.0084980e-47                  4.0084980e-47
2.5970000e+00                  4.9879456e-47                  4.9879456e-47
2.5971000e+00                  6.1826696e-47                  6.1826696e-47
2.5972000e+00                  7.6349721e-47                  7.6349721e-47
2.5973000e+00                  9.3547046e-47                  9.3547046e-47
2.5974000e+00                  1.1291043e-46                  1.1291043e-46
2.5975000e+00                  1.3314595e-46                  1.3314595e-46
2.5976000e+00                  1.5221876e-46                  1.5221876e-46
2.5977000e+00                  1.6768476e-46                  1.6768476e-46
2.5978000e+00                  1.7727948e-46                  1.7727948e-46
2.5979000e+00                  1.7965271e-46                  1.7965271e-46
2.5980000e+00                  1.7512028e-46                  1.7512028e-46
2.5981000e+00                  1.6637811e-46                  1.6637811e-46
2.5982000e+00                  1.5926500e-46                  1.5926500e-46
2.5983000e+00                  1.6378822e-46                  1.6378822e-46
2.5984000e+00                  1.9562304e-46                  1.9562304e-46
2.5985000e+00                  2.7805715e-46                  2.7805715e-46
2.5986000e+00                  4.4383850e-46                  4.4383850e-46
2.5987000e+00                  7.3570906e-46                  7.3570906e-46
2.5988000e+00                  1.2038588e-45                  1.2038588e-45
2.5989000e+00                  1.8985598e-45                  1.8985598e-45
2.5990000e+00                  2.8572708e-45                  2.8572708e-45
2.5991000e+00                  4.0876497e-45                  4.0876497e-45
2.5992000e+00                  5.5506790e-45                  5.5506790e-45
2.5993000e+00                  7.1503078e-45                  7.1503078e-45
2.5994000e+00                  8.7361470e-45                  8.7361470e-45
2.5995000e+00                  1.0122857e-44                  1.0122857e-44
2.5996000e+00                  1.1124294e-44                  1.1124294e-44
2.5997000e+00                  1.1594244e-44                  1.1594244e-44
2.5998000e+00                  1.1461572e-44                  1.1461572e-44
2.5999000e+00                  1.0748190e-44                  1.0748190e-44
2.6000000e+00                  9.5636539e-45                  9.5636539e-45
2.6001000e+00                  8.0783872e-45                  8.0783872e-45
2.6002000e+00                  6.4849777e-45                  6.4849777e-45
2.6003000e+00                  4.9610901e-45                  4.9610901e-45
2.6004000e+00                  3.6487903e-45                  3.6487903e-45
2.6005000e+00                  2.6699577e-45                  2.6699577e-45
2.6006000e+00                  2.2240486e-45                  2.2240486e-45
2.6007000e+00                  2.9076276e-45                  2.9076276e-45
2.6008000e+00                  6.6633064e-45                  6.6633064e-45
2.6009000e+00                  1.9456148e-44                  1.9456148e-44
2.6010000e+00                  5.8398755e-44                  5.8398755e-44
2.6011000e+00                  1.6952674e-43                  1.6952674e-43
2.6012000e+00                  4.6915756e-43                  4.6915756e-43
2.6013000e+00                  1.2332677e-42                  1.2332677e-42
2.6014000e+00                  3.0760007e-42                  3.0760007e-42
2.6015000e+00                  7.2769330e-42                  7.2769330e-42
2.6016000e+00                  1.6326189e-41                  1.6326189e-41
2.6017000e+00                  3.4735427e-41                  3.4735427e-41
2.6018000e+00                  7.0081314e-41                  7.0081314e-41
2.6019000e+00                  1.3408166e-40                  1.3408166e-40
2.6020000e+00                  2.4326081e-40                  2.4326081e-40
2.6021000e+00                  4.1851364e-40                  4.1851364e-40
2.6022000e+00                  6.8278084e-40                  6.8278084e-40
2.6023000e+00                  1.0562995e-39                  1.0562995e-39
2.6024000e+00                  1.5496256e-39                  1.5496256e-39
2.6025000e+00                  2.1557617e-39                  2.1557617e-39
2.6026000e+00                  2.8438693e-39                  2.8438693e-39
2.6027000e+00                  3.5575866e-39                  3.5575866e-39
2.6028000e+00                  4.2203027e-39                  4.2203027e-39
2.6029000e+00                  4.7477537e-39                  4.7477537e-39
2.6030000e+00                  5.0655523e-39                  5.0655523e-39
2.6031000e+00                  5.1269502e-39                  5.1269502e-39
2.6032000e+00                  4.9254848e-39                  4.9254848e-39
2.6033000e+00                  4.4987635e-39                  4.4987635e-39
2.6034000e+00                  3.9229701e-39                  3.9229701e-39
2.6035000e+00                  3.3012360e-39                  3.3012360e-39
2.6036000e+00                  2.7510849e-39                  2.7510849e-39
2.6037000e+00                  2.3956292e-39                  2.3956292e-39
2.6038000e+00                  2.3601588e-39                  2.3601588e-39
2.6039000e+00                  2.7715226e-39                  2.7715226e-39
2.6040000e+00                  3.7542363e-39                  3.7542363e-39
2.6041000e+00                  5.4165150e-39                  5.4165150e-39
2.6042000e+00                  7.8225785e-39                  7.8225785e-39
2.6043000e+00                  1.0954270e-38                  1.0954270e-38
2.6044000e+00                  1.4673124e-38                  1.4673124e-38
2.6045000e+00                  1.8699804e-38                  1.8699804e-38
2.6046000e+00                  2.2627424e-38                  2.2627424e-38
2.6047000e+00                  2.5976734e-38                  2.5976734e-38
2.6048000e+00                  2.8286238e-38                  2.8286238e-38
2.6049000e+00                  2.9214983e-38                  2.9214983e-38
2.6050000e+00                  2.8627310e-38                  2.8627310e-38
2.6051000e+00                  2.6632754e-38                  2.6632754e-38
2.6052000e+00                  2.3569902e-38                  2.3569902e-38
